BPM,SpO2,Temp,Humidity,Motion(AX),Motion(AY),Motion(AZ),Lat,Lon,Label
68,99.0,41.2,40.2,1412,-228,15976,13.127296,79.917423,Normal
75,98.8,41.3,40.3,1424,-212,16020,13.127295,79.917422,Normal
87,95.5,41.5,41.5,1400,-260,16032,13.127294,79.917421,Normal
94,98.0,41.2,40.2,1412,-228,15976,13.127294,79.917423,Normal
90,98.4,41.3,40.3,1424,-212,16020,13.127295,79.917422,Normal
107,97.5,41.5,41.5,1400,-260,16032,13.127294,79.917421,Normal
126,98.2,41.6,41.6,1432,-236,15992,13.127293,79.917420,Fatigue
147,98.5,41.5,41.5,1400,-260,16032,13.127294,79.917421,Heat_Risk
104,98.2,41.6,41.6,1432,-236,15992,13.127293,79.917420,Normal
81,97.8,41.5,42.6,1500,-160,16048,13.127292,79.917419,Normal
96,97.4,41.9,42.4,1476,320,16120,13.127291,79.917418,Normal
105,97.0,41.7,42.5,1448,760,16168,13.127290,79.917417,Normal
82,96.6,41.0,43.2,1512,-500,16100,13.127289,79.917416,Normal
67,97.0,41.8,42.5,1448,760,16168,13.127290,79.917417,Normal
110,96.6,41.0,43.2,1512,-500,16100,13.127289,79.917416,Normal
90,96.2,41.4,43.9,1180,1320,15952,13.127288,79.917415,Normal
108,95.8,41.3,44.2,1080,1840,15876,13.127287,79.917414,Normal
110,95.2,41.6,44.7,980,2360,15812,13.127286,79.917413,Normal
130,94.2,41.4,43.9,1180,1320,15952,13.127288,79.917415,Fatigue
68,93.8,41.3,44.2,1080,1840,15876,13.127287,79.917414,Normal
140,93.2,41.6,44.7,980,2360,15812,13.127286,79.917413,Heat_Risk
112,96.0,41.1,43.3,1360,-1640,15940,13.127285,79.917412,Normal
120,95.6,41.6,44.0,1280,-2160,15884,13.127284,79.917411,Normal
129,95.0,41.9,44.1,1180,-2680,15820,13.127283,79.917410,Fatigue
140,95.6,41.6,44.0,1280,-2160,15884,13.127284,79.917411,Heat_Risk
159,95.0,41.9,44.1,1180,-2680,15820,13.127283,79.917410,Heat_Risk
98,96.8,41.0,42.4,-800,-250,16000,13.127282,79.917409,Normal
106,96.4,41.4,43.3,-1200,-220,15980,13.127281,79.917408,Normal
124,95.8,41.2,43.6,-1600,-180,15960,13.127280,79.917407,Fatigue
146,96.4,41.4,43.3,-1200,-220,15980,13.127281,79.917408,Heat_Risk
164,95.8,41.2,43.6,-1600,-180,15960,13.127280,79.917407,Heat_Risk
98,96.6,41.7,42.0,2200,-210,16008,13.127279,79.917406,Normal
110,96.2,41.8,43.1,2800,-176,15972,13.127278,79.917405,Normal
78,95.6,41.9,44.4,3440,-144,15936,13.127277,79.917404,Normal
127,96.6,41.7,42.0,2200,-210,16008,13.127279,79.917406,Fatigue
149,96.2,41.8,43.1,2800,-176,15972,13.127278,79.917405,Heat_Risk
168,95.6,41.9,44.4,3440,-144,15936,13.127277,79.917404,Heat_Risk
96,97.0,41.4,42.9,1412,-220,17280,13.127276,79.917403,Normal
69,96.6,41.7,43.8,1440,-204,17680,13.127275,79.917402,Normal
77,96.0,41.3,43.6,1456,-188,18080,13.127274,79.917401,Normal
84,96.6,41.7,43.8,1440,-204,17680,13.127275,79.917402,Normal
93,96.0,41.3,43.6,1456,-188,18080,13.127274,79.917401,Normal
134,97.0,41.4,42.9,1412,-220,17280,13.127276,79.917403,Fatigue
154,96.6,41.7,43.8,1440,-204,17680,13.127275,79.917402,Heat_Risk
163,96.0,41.3,43.6,1456,-188,18080,13.127274,79.917401,Heat_Risk
98,96.8,41.1,42.1,1420,-260,14880,13.127273,79.917400,Normal
107,96.2,41.4,43.6,1400,-292,14460,13.127272,79.917399,Normal
130,95.6,41.3,43.4,1384,-324,14040,13.127271,79.917398,Fatigue
142,96.8,41.1,42.1,1420,-260,14880,13.127273,79.917400,Heat_Risk
167,96.2,41.4,43.6,1400,-292,14460,13.127272,79.917399,Heat_Risk
176,95.6,41.3,43.4,1384,-324,14040,13.127271,79.917398,Heat_Risk
118,94.8,41.7,45.8,980,2860,16016,13.127270,79.917397,Normal
129,94.0,41.8,46.9,720,3820,16124,13.127269,79.917396,Fatigue
143,93.0,41.4,47.7,460,4780,16260,13.127268,79.917395,Heat_Risk
158,94.8,41.7,45.8,980,2860,16016,13.127270,79.917397,Heat_Risk
170,94.0,41.8,46.9,720,3820,16124,13.127269,79.917396,Heat_Risk
183,93.0,41.4,47.7,460,4780,16260,13.127268,79.917395,Heat_Risk
104,94.4,41.2,45.4,1560,-3360,16040,13.127267,79.917394,Normal
135,93.6,41.3,46.5,1740,-4340,16156,13.127266,79.917393,Fatigue
150,92.6,41.8,47.5,1940,-5320,16296,13.127265,79.917392,Heat_Risk
164,94.4,41.2,45.4,1560,-3360,16040,13.127267,79.917394,Heat_Risk
177,93.6,41.3,46.5,1740,-4340,16156,13.127266,79.917393,Heat_Risk
